1 Day Post Growth Rank,Change in 1 Day Post Growth Rank,Sound Title,Sound Artist,Sound URL,Sound Sodatone ID,Total Post Count,Post Count 1 Day Delta,Post Count 2 Day Delta,Post Count 3 Day Delta,3 Day Post Growth Rank,Change in 3 Day Post Growth Rank,Post Count 7 Day Delta,7 Day Post Growth Rank,Change in 7 Day Post Growth Rank,Post Count 14 Day Delta,Week Over Week Growth,Chances of Reaching 50K Posts,Chances of Reaching 100K Posts,Chances of Reaching 500K Posts,Chances of Reaching 1M posts,5 Day Post Count Growth Rate,7 Day Delta Over Total Posts,7 Day Delta Over 14 Day Delta,3 Day Delta Over 7 Day Delta,2 Day Delta Over 3 Day Delta,1 Day Delta Over 3 Day Delta
629,-505,Na Na,Trey Songz,https://m.tiktok.com/h5/share/music/45816260.html?language=en&source=h5_m&u_code=e0chlf8e4fkh5c&_d=e0chlf8e4fkh5c&share_music_id=45816260,101766026,2,-246.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.102,0.058,0.035,0.016,0.0,0.0,nan,nan,nan,nan
630,-606,Adventure of a Lifetime,Coldplay,https://m.tiktok.com/h5/share/music/251635783860625408.html?language=en&source=h5_m&u_code=e0ci3jbb6cfad9&_d=e0ci3jbb6cfad9&share_music_id=251635783860625408,94011871,9,-1928.0,0.0,0.0,0,0,1.0,0,0,1.0,0.0,0.102,0.232,0.035,0.016,0.0005073566717402045,0.1111111111111111,1.0,0.0,nan,nan
631,-197,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",Ty Dolla $ign,https://m.tiktok.com/h5/share/music/6912759553327188738.html?language=en&source=h5_m&u_code=e0ci4geie6h6kd&_d=e0ci4geie6h6kd&share_music_id=6912759553327188738,270144047,8295,nan,nan,nan,0,0,nan,0,0,nan,nan,0.102,0.058,0.035,0.016,0.002260903388924049,nan,nan,nan,nan,nan
632,-58,Again,Kevin Gates,https://m.tiktok.com/h5/share/music/6737711608996416261.html?language=en&source=h5_m&u_code=e0chlamiidi5lk&_d=e0chlamiidi5lk&share_music_id=6737711608996416261,65553026,6588,nan,nan,nan,0,0,nan,0,0,nan,nan,0.102,0.058,0.035,0.016,0.0017390773736881478,nan,nan,nan,nan,nan
633,-45,"i hate u, i love u (feat. olivia o'brien)",Garrett Nash,https://m.tiktok.com/h5/share/music/6656607257528109826.html?language=en&source=h5_m&u_code=e0cha6d108fcdf&_d=e0cha6d108fcdf&share_music_id=6656607257528109826,2366490,96648,nan,nan,nan,0,0,nan,0,0,nan,nan,1.0,0.909,0.035,0.016,0.00030651531437500724,nan,nan,nan,nan,nan
634,-371,Danny Glover - Remix,Young Thug,https://m.tiktok.com/h5/share/music/6606000805940038406.html?language=en&source=h5_m&u_code=e0ci912cci3253&_d=e0ci912cci3253&share_music_id=6606000805940038406,39817,152805,nan,nan,nan,0,0,nan,0,0,nan,nan,1.0,1.0,0.273,0.13,0.0003682483435377765,nan,nan,nan,nan,nan
635,-425,"Work Hard, Play Hard",Wiz Khalifa,https://m.tiktok.com/h5/share/music/6704985646802405378.html?language=en&source=h5_m&u_code=e0che7633mbibh&_d=e0che7633mbibh&share_music_id=6704985646802405378,300420270,13304,nan,nan,nan,0,0,nan,0,0,nan,nan,0.303,0.174,0.035,0.016,0.008021555042340318,nan,nan,nan,nan,nan
636,-296,Dreams and Nightmares,Meek Mill,https://m.tiktok.com/h5/share/music/6704943963389822977.html?language=en&source=h5_m&u_code=e0chflk3l87g7l&_d=e0chflk3l87g7l&share_music_id=6704943963389822977,34997345,6667,nan,nan,nan,0,0,nan,0,0,nan,nan,0.102,0.058,0.035,0.016,0.007117656082221144,nan,nan,nan,nan,nan
637,-233,We Dem Boyz,Wiz Khalifa,https://m.tiktok.com/h5/share/music/6704978061193906177.html?language=en&source=h5_m&u_code=e0ci5d6m7k00h1&_d=e0ci5d6m7k00h1&share_music_id=6704978061193906177,23994806,40554,nan,nan,nan,0,0,nan,0,0,nan,nan,0.82,0.478,0.035,0.016,0.001207759358897465,nan,nan,nan,nan,nan
638,-370,Never Give Up,Sia,https://m.tiktok.com/h5/share/music/222455077754556416.html?language=en&source=h5_m&u_code=e0chib5m7hg36e&_d=e0chib5m7hg36e&share_music_id=222455077754556416,2385444,30298,nan,nan,nan,0,0,nan,0,0,nan,nan,0.671,0.382,0.035,0.016,0.0016591562195130045,nan,nan,nan,nan,nan
